spoken,Storage,EdgeTX 2.9,OpenTX 2.3,OpenTx 2.2,OpenTX 2.1,included at v,notes
Buzzer On,\buzon.wav,\buzon.wav,\buzon.wav,\buzon.wav,\buzon.wav,1.3,
Camera Change Mode,\cmode.wav,\cmode.wav,\cmode.wav,\cmode.wav,\cmode.wav,3,
camera off,\camoff.wav,\camoff.wav,\camoff.wav,\camoff.wav,\camoff.wav,1.4,
camera on,\camon.wav,\camon.wav,\camon.wav,\camon.wav,\camon.wav,1.4,
Camera Power Button,\cpower.wav,\cpower.wav,\cpower.wav,\cpower.wav,\cpower.wav,3,
camera stabilization off,\cstbof.wav,\cstbof.wav,\cstbof.wav,\cstbof.wav,\cstbof.wav,1,
camera stabilization on,\cstbon.wav,\cstbon.wav,\cstbon.wav,\cstbon.wav,\cstbon.wav,1,
Camera Start,\cstart.wav,\cstart.wav,\cstart.wav,\cstart.wav,\cstart.wav,3,
Camera Stop,\cstop.wav,\cstop.wav,\cstop.wav,\cstop.wav,\cstop.wav,3,
Camera Wifi Button,\cwifi.wav,\cwifi.wav,\cwifi.wav,\cwifi.wav,\cwifi.wav,3,
Canards,\cnrd.wav,\cnrd.wav,\cnrd.wav,\cnrd.wav,\cnrd.wav,1,
Cell,\cell.wav,\cell.wav,\cell.wav,\cell.wav,\cell.wav,1.2,
Cell 1 battery critical,\c1cri.wav,\c1cri.wav,\c1cri.wav,\c1cri.wav,\c1cri.wav,1.3,
Cell 1 battery low,\c1low.wav,\c1low.wav,\c1low.wav,\c1low.wav,\c1low.wav,1.3,
Cell 10 battery critical,\c10cri.wav,\c10cri.wav,\c10cri.wav,\c10cri.wav,\c10cri.wav,1.3,
Cell 10 battery low,\c10low.wav,\c10low.wav,\c10low.wav,\c10low.wav,\c10low.wav,1.3,
Cell 11 battery critical,\c11cri.wav,\c11cri.wav,\c11cri.wav,\c11cri.wav,\c11cri.wav,1.3,
Cell 11 battery low,\c11low.wav,\c11low.wav,\c11low.wav,\c11low.wav,\c11low.wav,1.3,
Cell 12 battery critical,\c12cri.wav,\c12cri.wav,\c12cri.wav,\c12cri.wav,\c12cri.wav,1.3,
Cell 12 battery low,\c12low.wav,\c12low.wav,\c12low.wav,\c12low.wav,\c12low.wav,1.3,
Cell 13 battery critical,\c13cri.wav,\c13cri.wav,\c13cri.wav,\c13cri.wav,\c13cri.wav,1.3,
Cell 13 battery low,\c13low.wav,\c13low.wav,\c13low.wav,\c13low.wav,\c13low.wav,1.3,
Cell 14 battery critical,\c14cri.wav,\c14cri.wav,\c14cri.wav,\c14cri.wav,\c14cri.wav,1.3,
Cell 14 battery low,\c14low.wav,\c14low.wav,\c14low.wav,\c14low.wav,\c14low.wav,1.3,
Cell 2 battery critical,\c2cri.wav,\c2cri.wav,\c2cri.wav,\c2cri.wav,\c2cri.wav,1.3,
Cell 2 battery low,\c2low.wav,\c2low.wav,\c2low.wav,\c2low.wav,\c2low.wav,1.3,
Cell 3 battery critical,\c3cri.wav,\c3cri.wav,\c3cri.wav,\c3cri.wav,\c3cri.wav,1.3,
Cell 3 battery low,\c3low.wav,\c3low.wav,\c3low.wav,\c3low.wav,\c3low.wav,1.3,
Cell 4 battery critical,\c4cri.wav,\c4cri.wav,\c4cri.wav,\c4cri.wav,\c4cri.wav,1.3,
Cell 4 battery low,\c4low.wav,\c4low.wav,\c4low.wav,\c4low.wav,\c4low.wav,1.3,
Cell 5 battery critical,\c5cri.wav,\c5cri.wav,\c5cri.wav,\c5cri.wav,\c5cri.wav,1.3,
Cell 5 battery low,\c5low.wav,\c5low.wav,\c5low.wav,\c5low.wav,\c5low.wav,1.3,
Cell 6 battery critical,\c6cri.wav,\c6cri.wav,\c6cri.wav,\c6cri.wav,\c6cri.wav,1.3,
Cell 6 battery low,\c6low.wav,\c6low.wav,\c6low.wav,\c6low.wav,\c6low.wav,1.3,
Cell 7 battery critical,\c7cri.wav,\c7cri.wav,\c7cri.wav,\c7cri.wav,\c7cri.wav,1.3,
Cell 7 battery low,\c7low.wav,\c7low.wav,\c7low.wav,\c7low.wav,\c7low.wav,1.3,
Cell 8 battery critical,\c8cri.wav,\c8cri.wav,\c8cri.wav,\c8cri.wav,\c8cri.wav,1.3,
Cell 8 battery low,\c8low.wav,\c8low.wav,\c8low.wav,\c8low.wav,\c8low.wav,1.3,
Cell 9 battery critical,\c9cri.wav,\c9cri.wav,\c9cri.wav,\c9cri.wav,\c9cri.wav,1.3,
Cell 9 battery low,\c9low.wav,\c9low.wav,\c9low.wav,\c9low.wav,\c9low.wav,1.3,
Cell battery critical,\celcri.wav,\celcri.wav,\celcri.wav,\celcri.wav,\celcri.wav,1.3,
Cell battery low,\cellow.wav,\cellow.wav,\cellow.wav,\cellow.wav,\cellow.wav,1.3,
Choke Off,\chkoff.wav,\chkoff.wav,\chkoff.wav,\chkoff.wav,\chkoff.wav,1.2,
Circle flight mode,\circfm.wav,\circfm.wav,\circfm.wav,\circfm.wav,\circfm.wav,3,Also used by Yaapu Script
Commanche,\cmnche.wav,\cmnche.wav,\cmnche.wav,\cmnche.wav,\cmnche.wav,1,
Corsair,\corsai.wav,\corsai.wav,\corsai.wav,\corsai.wav,\corsai.wav,1,
coupled to,\cplto.wav,\cplto.wav,\cplto.wav,\cplto.wav,\cplto.wav,1,
Course Hold,\crshld.wav,\crshld.wav,\crshld.wav,\crshld.wav,\crshld.wav,3,
Course Hold Active,\crshon.wav,\crshon.wav,\crshon.wav,\crshon.wav,\crshon.wav,3,
Course Hold Off,\crshof.wav,\crshof.wav,\crshof.wav,\crshof.wav,\crshof.wav,3,
Course Lock,\crslok.wav,\crslok.wav,\crslok.wav,\crslok.wav,\crslok.wav,1.2,
Crab mode,\crab.wav,\crab.wav,\crab.wav,\crab.wav,\crab.wav,2,
Crash Flip Active,\crfact.wav,\crfact.wav,\crfact.wav,\crfact.wav,\crfact.wav,3,
Crawl mode,\crawl.wav,\crawl.wav,\crawl.wav,\crawl.wav,\crawl.wav,2,
Critical Low Battery,\clobat.wav,\clobat.wav,\clobat.wav,\clobat.wav,\clobat.wav,3,
crow off,\crowof.wav,\crowof.wav,\crowof.wav,\crowof.wav,\crowof.wav,1,
crow on,\crowon.wav,\crowon.wav,\crowon.wav,\crowon.wav,\crowon.wav,1,
Cruise,\cruise.wav,\cruise.wav,\cruise.wav,\cruise.wav,\cruise.wav,3,
Cruise flight mode,\crsfm.wav,\crsfm.wav,\crsfm.wav,\crsfm.wav,\crsfm.wav,3,Also used by Yaapu Script
Cruise mode,\crsmd.wav,\crsmd.wav,\crsmd.wav,\crsmd.wav,\crsmd.wav,1.5,Also used by INav script
D,\d.wav,\d.wav,\d.wav,\d.wav,\d.wav,3,Also used by Betaflight Script
D B,\db0.wav,\SYSTEM\db0.wav,\SYSTEM\db0.wav,\SYSTEM\db0.wav,\SYSTEM\0145.wav,1,
D B,\db1.wav,\SYSTEM\db1.wav,\SYSTEM\db1.wav,\SYSTEM\db1.wav,\SYSTEM\0146.wav,1,
D Set point,\dsetpt.wav,\dsetpt.wav,\dsetpt.wav,\dsetpt.wav,\dsetpt.wav,3,Also used by Betaflight Script
Danger,\danger.wav,\danger.wav,\danger.wav,\danger.wav,\danger.wav,3,Also used by INav script
Deactivated,\deact.wav,\deact.wav,\deact.wav,\deact.wav,\deact.wav,3,
Dead Stick,\dedstk.wav,\dedstk.wav,\dedstk.wav,\dedstk.wav,\dedstk.wav,1,
degree,\degree0.wav,\SYSTEM\degree0.wav,\SYSTEM\degree0.wav,\SYSTEM\degree0.wav,\SYSTEM\0151.wav,1,
