Spoken,storage,Scripts location
Failsafe On,\fson.wav,\SCRIPTS\INAV\fson.wav
fence breach,\fncbrc.wav,\SCRIPTS\YAAPU\fencebreach.wav
fence enabled,\fence.wav,\SCRIPTS\YAAPU\fence.wav
Flight mode change failed,\fmchfl.wav,\SCRIPTS\YAAPU\116655276.wav
Flight plan received,\flpnrc.wav,\SCRIPTS\YAAPU\656739232.wav
Flip flight mode,\flip.wav,\SCRIPTS\YAAPU\flip.wav
flow position hold flight mode,\fphfm.wav,\SCRIPTS\YAAPU\flowhold.wav
Fly by wire a flight mode,\fbwafm.wav,\SCRIPTS\YAAPU\flybywirea.wav
Fly by wire b flight mode,\fbwbfm.wav,\SCRIPTS\YAAPU\flybywireb.wav
follow flight mode,\flwfm.wav,\SCRIPTS\YAAPU\follow.wav
follow mode,\fllwmd.wav,\SCRIPTS\YAAPU\follow_r.wav
Geofence triggered,\geotrg.wav,\SCRIPTS\YAAPU\1809087708.wav
Good,\good.wav,\SCRIPTS\INAV\good.wav
GPS,\gps.wav,\SCRIPTS\INAV\gps.wav
GPS 3D fix lock,\gpsfix.wav,\SCRIPTS\YAAPU\gpsfix.wav
GPS Glitch,\gpsglc.wav,\SCRIPTS\YAAPU\4137200300.wav
GPS Glitch cleared,\gpsgcl.wav,\SCRIPTS\YAAPU\2310179660.wav
GPS home acquired,\gpsha.wav,\SCRIPTS\YAAPU\1309405592.wav
GPS home acquired,\gpsha.wav,\SCRIPTS\YAAPU\3956583920.wav
Guided flight mode,\guidfm.wav,\SCRIPTS\YAAPU\guided.wav
Guided mode,\guidmd.wav,\SCRIPTS\YAAPU\guided_r.wav
Guided no gps flight mode,\guidxg.wav,\SCRIPTS\YAAPU\guidednogps.wav
Headfree Active,\hdfrac.wav,\SCRIPTS\INAV\hfact.wav
Headfree Off,\hdfrof.wav,\SCRIPTS\INAV\hfoff.wav
Heading Hold,\hhld.wav,\SCRIPTS\INAV\hedhld.wav
Heading Hold Active,\hhldac.wav,\SCRIPTS\INAV\hedhlda.wav
Hold mode,\hldmd.wav,\SCRIPTS\YAAPU\hold_r.wav
Home Reset,\homrst.wav,\SCRIPTS\INAV\homrst.wav
horizon mode,\hrzmd.wav,\SCRIPTS\INAV\hrznmd.wav
I,\i.wav,\SCRIPTS\BETAFLIGHT\i.wav
Initialising,\init.wav,\SCRIPTS\YAAPU\initializing.wav
Initialising,\init.wav,\SCRIPTS\YAAPU\initializing_r.wav
Land descend started,\landds.wav,\SCRIPTS\YAAPU\1204090832.wav
Land final started,\landfs.wav,\SCRIPTS\YAAPU\2890289840.wav
Land flight mode,\landfm.wav,\SCRIPTS\YAAPU\land.wav
Landing complete,\landc.wav,\SCRIPTS\YAAPU\landing.wav
link loss failsafe mode,\llfail.wav,\SCRIPTS\YAAPU\rtgs.wav
Loiter flight mode,\loitfm.wav,\SCRIPTS\YAAPU\loiter.wav
Loiter mode,\loitmd.wav,\SCRIPTS\YAAPU\loiter_r.wav
Lost,\lost.wav,\SCRIPTS\INAV\lost.wav
Low altitude alert,\minalt.wav,\SCRIPTS\YAAPU\minalt.wav
Low battery,\lowbat.wav,\SCRIPTS\YAAPU\lowbat.wav
Low Battery,\lowbat.wav,\SCRIPTS\INAV\batlow.wav
Manual flight mode,\manfm.wav,\SCRIPTS\YAAPU\manual.wav
Manual Mode,\manmod.wav,\SCRIPTS\INAV\manmd.wav
Manual mode,\manmod.wav,\SCRIPTS\YAAPU\manual_r.wav
Manual mode,\manmod.wav,\sxrman.wav
Max altitude alert,\maxalt.wav,\SCRIPTS\YAAPU\maxalt.wav
Max distance alert,\maxdst.wav,\SCRIPTS\YAAPU\maxdist.wav
Mission complete,\miscom.wav,\SCRIPTS\YAAPU\3708582640.wav
